league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
FRA-Ligue 1,2023-24,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,24.1,20,3,0,2,0,30.4,0.25,10.4,0.43,36,94,38.3,641,113,11.4,24.2,131,16.0,23.0,294,15,5.1,23,0.95,13.2
FRA-Ligue 1,2023-24,Paris S-G,Keylor Navas,CRC,GK,36,1986,4.0,6,1,0,0,0,4.7,0.31,-1.3,-0.33,4,9,44.4,80,12,10.0,23.5,18,5.6,22.2,37,0,0.0,5,1.25,16.3
FRA-Ligue 1,2023-24,Reims,Yehvann Diouf,SEN,GK,23,1999,34.0,47,6,1,4,1,42.7,0.27,-3.3,-0.1,124,353,35.1,1135,179,25.2,30.1,157,42.7,36.9,522,38,7.3,46,1.35,14.2
FRA-Ligue 1,2023-24,Rennes,Steve Mandanda,FRA,GK,38,1985,34.0,46,3,0,5,3,38.2,0.25,-4.8,-0.14,134,416,32.2,1017,149,29.9,31.5,192,58.3,43.1,451,36,8.0,37,1.09,15.1
FRA-Ligue 1,2023-24,Strasbourg,Alaa Bellaarouch,MAR,GK,21,2002,15.0,26,3,0,1,1,19.9,0.25,-5.1,-0.34,56,183,30.6,440,57,36.4,34.4,61,37.7,36.0,203,19,9.4,21,1.4,13.4
FRA-Ligue 1,2023-24,Strasbourg,Matz Sels,BEL,GK,31,1992,19.0,24,1,0,2,2,18.0,0.28,-4.0,-0.21,88,226,38.9,505,68,37.4,34.5,113,32.7,33.7,257,6,2.3,19,1.0,13.9
FRA-Ligue 1,2023-24,Toulouse,Guillaume Restes,FRA,GK,18,2005,34.0,46,4,2,6,0,45.3,0.3,-0.7,-0.02,92,285,32.3,702,93,27.4,29.3,193,48.2,38.9,490,7,1.4,16,0.47,10.7
GER-Bundesliga,2023-24,Augsburg,Finn Dahmen,GER,GK,25,1998,31.0,52,7,0,10,2,49.3,0.26,-0.7,-0.02,169,450,37.6,1151,92,30.8,32.4,187,51.3,44.3,484,28,5.8,50,1.61,15.0
GER-Bundesliga,2023-24,Augsburg,Tomáš Koubek,CZE,GK,30,1992,3.0,8,0,0,2,0,6.7,0.29,-1.3,-0.43,16,40,40.0,74,6,36.5,34.5,24,54.2,46.5,36,2,5.6,2,0.67,11.6
GER-Bundesliga,2023-24,Bayern Munich,Daniel Peretz,ISR,GK,23,2000,0.2,0,0,0,0,0,0.0,,0.0,0.0,0,4,0.0,15,3,26.7,33.1,2,0.0,16.5,2,0,0.0,0,0.0,
GER-Bundesliga,2023-24,Bayern Munich,Manuel Neuer,GER,GK,37,1986,22.8,33,2,1,1,0,29.1,0.29,-3.9,-0.17,73,159,45.9,779,110,18.6,27.7,97,14.4,26.0,231,9,3.9,32,1.4,17.5
GER-Bundesliga,2023-24,Bayern Munich,Sven Ulreich,GER,GK,34,1988,11.0,12,1,1,2,0,11.8,0.35,-0.2,-0.01,26,79,32.9,348,57,20.4,26.2,47,17.0,26.4,108,5,4.6,16,1.45,19.9
GER-Bundesliga,2023-24,Bochum,Andreas Luthe,GER,GK,36,1987,1.0,4,0,0,0,1,2.7,0.68,-0.3,-0.3,20,43,46.5,42,2,85.7,51.3,7,100.0,61.1,13,0,0.0,0,0.0,7.7
GER-Bundesliga,2023-24,Bochum,Manuel Riemann,GER,GK,34,1988,33.0,70,9,0,9,3,59.6,0.27,-7.4,-0.22,430,1041,41.3,1498,89,61.0,42.5,208,61.1,46.9,510,35,6.9,104,3.15,19.8
GER-Bundesliga,2023-24,Darmstadt 98,Alexander Brunst,GER,GK,28,1995,3.0,10,0,0,2,0,6.3,0.37,-3.7,-1.25,33,72,45.8,129,13,41.1,36.0,21,90.5,59.6,51,3,5.9,9,3.0,19.1
GER-Bundesliga,2023-24,Darmstadt 98,Marcel Schuhen,GER,GK,30,1993,31.0,76,1,2,7,2,68.0,0.34,-6.0,-0.19,245,618,39.6,1204,182,36.3,34.8,289,62.6,48.5,453,24,5.3,51,1.65,16.5
GER-Bundesliga,2023-24,Dortmund,Alexander Meyer,GER,GK,32,1991,7.7,9,0,0,0,1,7.8,0.3,-0.2,-0.03,27,81,33.3,334,29,20.1,28.3,31,45.2,42.1,107,8,7.5,7,0.91,14.5
GER-Bundesliga,2023-24,Dortmund,Gregor Kobel,SUI,GK,25,1997,26.3,34,5,0,9,1,36.8,0.28,3.8,0.14,106,268,39.6,1006,106,19.6,28.1,165,43.0,38.5,359,7,1.9,17,0.65,12.5
GER-Bundesliga,2023-24,Eint Frankfurt,Jens Grahl,GER,GK,34,1988,2.0,2,0,0,0,0,1.4,0.15,-0.6,-0.31,4,29,13.8,77,15,31.2,34.4,15,33.3,37.9,33,4,12.1,4,2.0,15.7
GER-Bundesliga,2023-24,Eint Frankfurt,Kevin Trapp,GER,GK,33,1990,32.0,48,9,0,4,0,48.3,0.28,0.3,0.01,102,361,28.3,949,137,28.9,29.8,212,41.0,36.2,452,16,3.5,30,0.94,15.2
GER-Bundesliga,2023-24,Freiburg,Noah Atubolu,GER,GK,21,2002,34.0,58,3,1,5,1,50.0,0.3,-7.0,-0.21,193,568,34.0,1148,160,35.4,34.2,241,67.2,50.7,485,31,6.4,30,0.88,13.6
GER-Bundesliga,2023-24,Gladbach,Jonas Omlin,SUI,GK,29,1994,7.0,18,2,0,1,0,13.3,0.24,-4.7,-0.67,32,90,35.6,242,37,30.2,32.3,34,50.0,41.8,78,7,9.0,12,1.71,15.3
GER-Bundesliga,2023-24,Gladbach,Moritz Nicolas,GER,GK,25,1997,27.0,49,4,0,6,0,45.1,0.26,-3.9,-0.14,112,315,35.6,888,140,26.0,29.7,161,52.2,42.5,460,21,4.6,22,0.81,13.2
GER-Bundesliga,2023-24,Heidenheim,Kevin Müller,GER,GK,32,1991,34.0,55,7,0,7,3,53.6,0.27,1.6,0.05,249,595,41.8,1164,167,35.2,35.9,316,58.5,46.1,495,24,4.8,17,0.5,13.2
GER-Bundesliga,2023-24,Hoffenheim,Oliver Baumann,GER,GK,33,1990,34.0,66,2,3,9,1,68.6,0.31,3.6,0.11,208,529,39.3,1159,165,33.7,32.7,249,55.4,44.9,545,31,5.7,73,2.15,16.7
GER-Bundesliga,2023-24,Köln,Marvin Schwäbe,GER,GK,28,1995,34.0,60,3,0,10,0,62.0,0.36,2.0,0.06,135,372,36.3,1148,101,28.4,31.4,149,30.9,34.3,504,14,2.8,21,0.62,13.4
GER-Bundesliga,2023-24,Leverkusen,Lukáš Hrádecký,FIN,GK,33,1989,33.0,24,0,0,4,0,27.5,0.27,3.5,0.11,71,202,35.1,736,165,20.8,27.6,145,33.8,34.5,313,27,8.6,39,1.18,16.5
GER-Bundesliga,2023-24,Leverkusen,Matej Kovar,CZE,GK,23,2000,1.0,0,0,0,0,0,0.4,0.15,0.4,0.44,0,0,,17,6,0.0,22.1,0,,,3,1,33.3,1,1.0,15.0
GER-Bundesliga,2023-24,Mainz 05,Daniel Batz,GER,GK,32,1991,4.0,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.5,11.3
GER-Bundesliga,2023-24,Mainz 05,Robin Zentner,GER,GK,28,1994,30.0,48,3,1,2,1,49.2,0.37,2.2,0.07,180,512,35.2,862,146,47.3,38.5,177,58.8,46.4,393,42,10.7,48,1.6,16.0
GER-Bundesliga,2023-24,RB Leipzig,Janis Blaswich,GER,GK,32,1991,21.0,30,4,0,7,0,25.3,0.28,-4.7,-0.22,57,155,36.8,822,89,14.7,25.7,134,25.4,30.7,251,16,6.4,37,1.76,17.6
GER-Bundesliga,2023-24,RB Leipzig,Péter Gulácsi,HUN,GK,33,1990,13.0,9,0,1,1,1,10.3,0.25,2.3,0.17,22,79,27.8,373,58,12.9,25.1,97,32.0,32.2,175,7,4.0,14,1.08,14.5
GER-Bundesliga,2023-24,Stuttgart,Alexander Nübel,GER,GK,26,1996,30.0,36,3,0,5,3,30.8,0.27,-2.2,-0.07,126,291,43.3,1103,132,23.1,28.7,112,32.1,32.7,341,30,8.8,57,1.9,17.3
GER-Bundesliga,2023-24,Stuttgart,Fabian Bredlow,GER,GK,28,1995,4.0,3,0,0,1,0,5.0,0.23,2.0,0.49,22,61,36.1,168,15,31.5,31.0,11,72.7,51.7,55,1,1.8,5,1.25,16.6
GER-Bundesliga,2023-24,Union Berlin,Alexander Schwolow,GER,GK,31,1992,1.0,2,0,0,0,0,1.2,0.2,-0.8,-0.81,4,10,40.0,28,4,32.1,34.1,8,12.5,28.4,13,0,0.0,0,0.0,5.0
GER-Bundesliga,2023-24,Union Berlin,Frederik Rønnow,DEN,GK,30,1992,33.0,56,5,2,7,1,51.7,0.28,-3.3,-0.1,198,525,37.7,1096,174,35.2,33.6,218,63.8,47.4,539,54,10.0,37,1.12,12.9
GER-Bundesliga,2023-24,Werder Bremen,Jiří Pavlenka,CZE,GK,31,1992,7.0,17,2,0,1,0,13.1,0.3,-3.9,-0.56,31,85,36.5,177,37,37.9,34.2,69,26.1,32.5,109,7,6.4,9,1.29,14.4
GER-Bundesliga,2023-24,Werder Bremen,Michael Zetterer,GER,GK,28,1995,27.0,37,4,0,4,1,41.0,0.3,5.0,0.18,145,330,43.9,977,161,28.5,32.7,144,36.1,38.1,407,34,8.4,30,1.11,14.6
GER-Bundesliga,2023-24,Wolfsburg,Koen Casteels,BEL,GK,31,1992,25.0,39,2,0,2,2,36.4,0.3,-0.6,-0.03,161,390,41.3,786,118,36.3,35.0,161,65.2,48.4,335,25,7.5,38,1.52,15.7
GER-Bundesliga,2023-24,Wolfsburg,Pavao Pervan,AUT,GK,35,1987,9.0,17,0,2,2,1,11.5,0.32,-4.5,-0.51,40,104,38.5,263,39,33.5,32.8,37,43.2,39.6,127,1,0.8,3,0.33,12.1
ITA-Serie A,2023-24,Atalanta,Francesco Rossi,ITA,GK,32,1991,0.1,0,0,0,0,0,0.8,0.75,0.8,13.52,0,1,0.0,1,1,0.0,14.0,1,100.0,67.0,2,0,0.0,0,0.0,
ITA-Serie A,2023-24,Atalanta,Juan Musso,ARG,GK,29,1994,11.0,12,2,0,2,1,9.8,0.23,-1.2,-0.11,40,120,33.3,299,70,24.4,29.6,70,67.1,48.6,110,10,9.1,16,1.45,16.7
ITA-Serie A,2023-24,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,26.9,30,4,0,2,0,29.3,0.22,-0.7,-0.03,121,338,35.8,680,142,30.6,33.8,193,67.4,51.7,332,20,6.0,39,1.45,14.7
ITA-Serie A,2023-24,Bologna,Federico Ravaglia,ITA,GK,23,1999,5.9,3,0,1,0,0,5.5,0.25,2.5,0.43,14,49,28.6,172,23,18.0,25.4,34,52.9,41.0,73,1,1.4,4,0.67,17.1
ITA-Serie A,2023-24,Bologna,Nicola Bagnolini,ITA,GK,19,2004,0.1,0,0,0,0,0,0.0,0.02,0.0,0.36,1,2,50.0,1,0,100.0,47.0,2,50.0,53.0,0,0,,0,0.0,
ITA-Serie A,2023-24,Bologna,Łukasz Skorupski,POL,GK,32,1991,32.0,29,3,1,3,1,26.6,0.23,-1.4,-0.05,103,297,34.7,829,136,26.3,29.6,188,42.0,38.7,432,12,2.8,15,0.47,12.2
ITA-Serie A,2023-24,Cagliari,Boris Radunović,SRB,GK,27,1996,7.0,12,0,0,1,1,10.1,0.38,-0.9,-0.13,41,91,45.1,156,31,35.9,37.0,66,53.0,43.8,98,6,6.1,4,0.57,11.2
ITA-Serie A,2023-24,Cagliari,Simone Aresti,ITA,GK,37,1986,0.0,1,1,0,0,0,1.0,0.0,0.0,-1.21,0,1,0.0,1,0,100.0,64.0,0,,,3,0,0.0,0,0.0,
ITA-Serie A,2023-24,Cagliari,Simone Scuffet,ITA,GK,27,1996,31.0,55,3,3,9,2,45.1,0.33,-7.9,-0.25,161,452,35.6,684,106,43.3,37.1,243,64.2,46.9,482,22,4.6,20,0.65,12.1
ITA-Serie A,2023-24,Empoli,Elia Caprile,ITA,GK,21,2001,23.0,27,4,0,5,0,27.6,0.22,0.6,0.02,117,350,33.4,657,137,40.3,36.8,159,53.5,45.1,391,31,7.9,20,0.87,13.3
ITA-Serie A,2023-24,Empoli,Etrit Berisha,ALB,GK,34,1989,14.0,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4
ITA-Serie A,2023-24,Empoli,Samuele Perisan,ITA,GK,25,1997,1.0,2,0,0,0,0,0.7,0.14,-1.3,-1.32,1,8,12.5,22,8,27.3,26.3,12,16.7,29.6,18,0,0.0,1,1.0,21.0
ITA-Serie A,2023-24,Fiorentina,Oliver Christensen,DEN,GK,24,1999,4.0,9,2,0,0,0,4.0,0.11,-5.0,-1.26,23,61,37.7,170,15,31.8,31.0,20,35.0,33.7,32,1,3.1,9,2.25,19.5
ITA-Serie A,2023-24,Fiorentina,Pietro Terracciano,ITA,GK,33,1990,33.0,35,6,3,5,0,40.2,0.27,5.2,0.16,164,382,42.9,1051,120,29.0,32.1,176,43.8,38.2,307,7,2.3,23,0.7,14.6
ITA-Serie A,2023-24,Fiorentina,Tommaso Martinelli,ITA,GK,17,2006,1.0,2,0,0,0,0,1.4,0.45,-0.6,-0.65,4,15,26.7,40,3,30.0,32.3,9,33.3,32.0,14,0,0.0,0,0.0,11.0
ITA-Serie A,2023-24,Frosinone,Michele Cerofolini,ITA,GK,24,1999,7.5,11,0,0,1,1,5.9,0.22,-4.1,-0.55,18,100,18.0,171,28,47.4,37.2,38,50.0,42.8,126,4,3.2,7,0.93,14.3
ITA-Serie A,2023-24,Frosinone,Stefano Turati,ITA,GK,21,2001,30.5,58,5,0,10,1,47.5,0.28,-9.5,-0.31,72,316,22.8,919,147,27.3,29.2,144,45.1,38.8,412,18,4.4,19,0.62,13.7
ITA-Serie A,2023-24,Genoa,Daniele Sommariva,ITA,GK,26,1997,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,3,0.0,2,0,100.0,54.5,1,100.0,76.0,2,1,50.0,0,0.0,15.0
ITA-Serie A,2023-24,Genoa,Josep Martinez,ESP,GK,25,1998,36.0,43,3,1,4,1,38.9,0.28,-3.1,-0.09,227,583,38.9,1253,107,37.4,35.9,171,66.7,49.4,580,45,7.8,40,1.11,12.2
ITA-Serie A,2023-24,Genoa,Nicola Leali,ITA,GK,30,1993,2.0,2,0,0,0,0,2.8,0.31,0.8,0.4,18,48,37.5,62,3,69.4,44.7,10,50.0,40.6,27,2,7.4,1,0.51,15.2
ITA-Serie A,2023-24,Hellas Verona,Lorenzo Montipò,ITA,GK,27,1996,37.0,49,2,0,6,1,40.7,0.26,-7.3,-0.2,323,763,42.3,960,109,54.5,41.1,305,78.7,56.4,487,22,4.5,43,1.16,15.3
ITA-Serie A,2023-24,Hellas Verona,Simone Perilli,ITA,GK,28,1995,1.0,2,0,0,0,0,2.7,0.29,0.7,0.75,8,28,28.6,32,2,75.0,49.5,5,80.0,62.0,5,0,0.0,2,2.0,18.0
ITA-Serie A,2023-24,Inter,Emil Audero,IDN,GK,26,1997,3.7,3,0,0,0,0,3.1,0.28,0.1,0.02,6,24,25.0,177,28,11.9,24.6,18,16.7,27.2,54,6,11.1,2,0.53,10.2
ITA-Serie A,2023-24,Inter,Raffaele Di Gennaro,ITA,GK,29,1993,0.3,0,0,0,0,0,0.5,0.13,0.5,2.08,1,2,50.0,15,3,13.3,25.2,1,0.0,10.0,4,0,0.0,0,0.0,
ITA-Serie A,2023-24,Inter,Yann Sommer,SUI,GK,34,1988,34.0,19,2,0,3,0,25.5,0.23,6.5,0.19,104,226,46.0,1033,120,17.4,26.1,201,22.9,27.9,395,18,4.6,14,0.41,12.1
ITA-Serie A,2023-24,Juventus,Carlo Pinsoglio,ITA,GK,33,1990,0.5,0,0,0,0,0,0.5,0.18,0.5,1.06,2,5,40.0,21,1,23.8,31.4,0,,,17,0,0.0,0,0.0,5.0
ITA-Serie A,2023-24,Juventus,Mattia Perin,ITA,GK,30,1992,2.5,1,0,0,0,0,1.2,0.25,0.2,0.1,5,15,33.3,54,9,25.9,29.4,12,8.3,19.5,29,2,6.9,3,1.2,16.7
ITA-Serie A,2023-24,Juventus,Wojciech Szczęsny,POL,GK,33,1990,35.0,30,2,0,4,2,28.3,0.24,0.3,0.01,147,340,43.2,828,134,32.0,32.8,174,43.1,40.2,555,26,4.7,20,0.57,11.6
ITA-Serie A,2023-24,Lazio,Christos Mandas,GRE,GK,21,2001,8.0,6,0,0,2,0,7.0,0.25,1.0,0.12,38,114,33.3,240,29,42.5,37.7,29,41.4,37.9,99,6,6.1,5,0.62,13.1
ITA-Serie A,2023-24,Lazio,Ivan Provedel,ITA,GK,29,1994,30.0,33,2,0,1,0,30.0,0.23,-3.0,-0.1,101,252,40.1,841,103,22.6,30.8,176,35.2,37.0,377,15,4.0,18,0.6,13.0
ITA-Serie A,2023-24,Lecce,Wladimiro Falcone,ITA,GK,28,1995,38.0,54,5,1,7,1,51.0,0.26,-2.0,-0.05,152,489,31.1,893,159,42.6,34.9,248,44.0,35.2,522,20,3.8,20,0.53,11.0
ITA-Serie A,2023-24,Milan,Antonio Mirante,ITA,GK,40,1983,2.0,3,0,0,1,0,3.1,0.41,0.1,0.05,5,14,35.7,46,5,26.1,29.2,8,25.0,29.4,17,1,5.9,1,0.51,11.9
ITA-Serie A,2023-24,Milan,Lapo Nava,ITA,GK,19,2004,0.0,1,0,0,0,0,0.9,0.5,-0.1,-2.83,1,1,100.0,1,0,100.0,43.0,0,,,0,0,,0,0.0,
ITA-Serie A,2023-24,Milan,Marco Sportiello,ITA,GK,31,1992,7.0,11,1,0,0,1,8.9,0.25,-1.1,-0.15,20,51,39.2,230,40,20.4,26.9,17,23.5,29.1,81,5,6.2,9,1.29,15.4
ITA-Serie A,2023-24,Milan,Mike Maignan,FRA,GK,28,1995,29.0,34,7,2,3,0,29.8,0.19,-4.2,-0.14,119,284,41.9,1070,188,21.1,28.2,147,39.5,38.0,339,37,10.9,36,1.24,15.2
ITA-Serie A,2023-24,Monza,Alessandro Sorrentino,ITA,GK,21,2002,6.1,16,4,0,1,0,14.4,0.34,-1.6,-0.27,18,56,32.1,151,29,26.5,30.6,42,38.1,36.1,62,3,4.8,3,0.49,16.8
ITA-Serie A,2023-24,Monza,Michele Di Gregorio,ITA,GK,26,1997,31.9,35,3,1,5,0,45.4,0.26,10.4,0.33,179,430,41.6,1126,201,27.8,30.6,223,52.5,44.2,469,19,4.1,18,0.56,11.5
ITA-Serie A,2023-24,Napoli,Alex Meret,ITA,GK,26,1997,30.8,40,2,1,5,0,38.0,0.33,-2.0,-0.07,56,174,32.2,774,120,18.5,27.9,137,22.6,29.5,334,9,2.7,29,0.94,15.4
ITA-Serie A,2023-24,Napoli,Nikita Contini Baranovsky,ITA,GK,27,1996,0.2,0,0,0,0,0,0.0,,0.0,0.0,0,0,,3,1,0.0,17.0,1,0.0,15.0,1,0,0.0,3,15.88,37.0
ITA-Serie A,2023-24,Napoli,Pierluigi Gollini,ITA,GK,28,1995,7.0,8,0,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2
ITA-Serie A,2023-24,Roma,Mile Svilar,SRB,GK,23,1999,15.0,19,1,0,3,1,20.2,0.24,2.2,0.14,44,116,37.9,516,77,15.9,25.3,89,38.2,36.2,208,16,7.7,7,0.47,12.0
ITA-Serie A,2023-24,Roma,Rui Patrício,POR,GK,35,1988,23.0,27,2,0,2,2,23.4,0.29,-1.6,-0.07,90,211,42.7,492,86,31.5,31.0,137,40.9,34.9,309,16,5.2,8,0.35,11.7
ITA-Serie A,2023-24,Salernitana,Benoît Costil,FRA,GK,36,1987,13.0,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48.0,37.0,104,70.2,51.1,212,2,0.9,19,1.46,18.2
ITA-Serie A,2023-24,Salernitana,Guillermo Ochoa,MEX,GK,38,1985,21.0,44,7,0,3,1,37.2,0.27,-5.8,-0.28,85,323,26.3,479,73,46.3,37.5,171,59.1,44.4,342,9,2.6,11,0.52,13.6
ITA-Serie A,2023-24,Salernitana,Vincenzo Fiorillo,ITA,GK,33,1990,4.0,8,0,0,4,0,7.3,0.28,-0.7,-0.18,27,96,28.1,72,9,68.1,44.9,54,87.0,56.6,77,4,5.2,1,0.25,7.6
ITA-Serie A,2023-24,Sassuolo,Alessio Cragno,ITA,GK,29,1994,3.0,7,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50.0,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6
ITA-Serie A,2023-24,Sassuolo,Andrea Consigli,ITA,GK,36,1987,35.0,68,7,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,545,23,4.2,22,0.63,11.8
ITA-Serie A,2023-24,Torino,Luca Gemello,ITA,GK,23,2000,2.0,5,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,24,3,12.5,3,1.5,12.0
ITA-Serie A,2023-24,Torino,Vanja Milinković-Savić,SRB,GK,26,1997,36.0,31,6,0,4,0,33.8,0.21,2.8,0.08,264,783,33.7,1288,171,44.8,38.3,239,86.2,66.6,407,38,9.3,37,1.03,13.6
ITA-Serie A,2023-24,Udinese,Maduka Okoye,NGA,GK,23,1999,21.0,25,3,2,3,1,23.9,0.24,-0.1,0.0,99,263,37.6,286,45,55.9,41.7,161,64.0,49.0,365,7,1.9,2,0.1,8.7
ITA-Serie A,2023-24,Udinese,Marco Silvestri,ITA,GK,32,1991,17.0,28,6,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,282,5,1.8,7,0.41,13.1
