league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
ENG-Premier League,2025-26,West Ham,Jarrod Bowen,ENG,FW,28-254,1996,2.0,47,62,75.8,650,92,26,32,81.3,18,20,90.0,0,2,0.0,0,0.0,0.2,0.0,1,1,3,0,7
ENG-Premier League,2025-26,West Ham,Jean-Clair Todibo,FRA,DF,25-244,1999,1.4,80,88,90.9,1467,498,30,31,96.8,42,43,97.7,8,11,72.7,0,0.0,0.0,0.0,0,8,0,0,7
ENG-Premier League,2025-26,West Ham,Kyle Walker-Peters,ENG,DF,28-140,1997,0.2,17,19,89.5,207,79,13,13,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
ENG-Premier League,2025-26,West Ham,Lucas Paquetá,BRA,"MF,FW",28-004,1997,2.0,102,122,83.6,1608,438,52,56,92.9,40,48,83.3,7,12,58.3,0,0.0,0.2,0.0,1,17,3,0,20
ENG-Premier League,2025-26,West Ham,Mads Hermansen,DEN,GK,25-051,2000,2.0,49,73,67.1,1468,1101,7,7,100.0,26,26,100.0,16,40,40.0,0,0.0,0.0,0.0,0,5,0,0,0
ENG-Premier League,2025-26,West Ham,Max Kilman,ENG,DF,28-100,1997,2.0,95,99,96.0,1817,449,26,27,96.3,60,61,98.4,8,10,80.0,0,0.0,0.0,0.0,1,7,1,1,7
ENG-Premier League,2025-26,West Ham,Nayef Aguerd,MAR,DF,29-154,1996,2.0,106,119,89.1,1731,663,52,53,98.1,47,49,95.9,5,13,38.5,0,0.0,0.0,0.0,0,12,0,0,9
ENG-Premier League,2025-26,West Ham,Niclas Füllkrug,GER,FW,32-203,1993,1.5,21,33,63.6,289,48,14,19,73.7,3,6,50.0,2,3,66.7,0,0.2,0.1,-0.2,2,0,2,0,2
ENG-Premier League,2025-26,West Ham,Tomáš Souček,CZE,MF,30-185,1995,1.0,29,36,80.6,429,76,18,21,85.7,10,13,76.9,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,3
ENG-Premier League,2025-26,Wolves,André,BRA,MF,24-046,2001,2.0,78,88,88.6,1428,369,37,39,94.9,33,36,91.7,8,10,80.0,0,0.0,0.0,0.0,0,7,0,0,9
ENG-Premier League,2025-26,Wolves,David Møller Wolfe,NOR,MF,23-130,2002,1.5,25,49,51.0,412,204,13,20,65.0,10,20,50.0,2,7,28.6,1,0.3,0.1,0.7,1,2,1,1,2
ENG-Premier League,2025-26,Wolves,Emmanuel Agbadou,CIV,DF,28-075,1997,3.0,154,183,84.2,3670,1440,31,34,91.2,99,107,92.5,24,41,58.5,0,0.0,0.1,0.0,1,13,2,0,8
ENG-Premier League,2025-26,Wolves,Fer López,,MF,,,0.5,20,26,76.9,367,73,9,11,81.8,9,11,81.8,2,3,66.7,0,0.0,0.0,0.0,0,3,3,0,6
ENG-Premier League,2025-26,Wolves,Hugo Bueno,ESP,MF,22-347,2002,1.5,61,78,78.2,1086,224,25,28,89.3,32,38,84.2,4,9,44.4,0,0.2,0.1,-0.2,3,3,4,4,3
ENG-Premier League,2025-26,Wolves,Hwang Hee-chan,KOR,FW,29-217,1996,1.1,7,19,36.8,110,11,3,10,30.0,4,7,57.1,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,0
ENG-Premier League,2025-26,Wolves,Jackson Tchatchoua,CMR,MF,23-351,2001,1.3,46,65,70.8,782,190,24,29,82.8,19,27,70.4,3,7,42.9,0,0.0,0.0,0.0,1,2,2,2,1
ENG-Premier League,2025-26,Wolves,Jean-Ricner Bellegarde,FRA,"FW,MF",27-065,1998,1.6,44,57,77.2,837,224,19,20,95.0,18,25,72.0,6,9,66.7,0,0.1,0.1,-0.1,2,2,4,0,10
ENG-Premier League,2025-26,Wolves,Jhon Arias,COL,FW,27-344,1997,1.5,31,38,81.6,510,114,17,19,89.5,12,15,80.0,2,4,50.0,0,0.1,0.0,-0.1,1,3,2,0,5
ENG-Premier League,2025-26,Wolves,José Sá,POR,GK,32-226,1993,3.0,67,99,67.7,2057,1563,9,9,100.0,34,35,97.1,23,54,42.6,0,0.1,0.0,-0.1,1,3,1,0,0
ENG-Premier League,2025-26,Wolves,João Gomes,BRA,MF,24-200,2001,3.0,138,157,87.9,2268,506,68,71,95.8,52,59,88.1,13,18,72.2,0,0.0,0.1,0.0,2,16,3,0,15
ENG-Premier League,2025-26,Wolves,Jørgen Strand Larsen,NOR,FW,25-206,2000,1.8,26,38,68.4,368,53,18,25,72.0,5,7,71.4,2,3,66.7,0,0.0,0.0,0.0,0,4,0,0,1
ENG-Premier League,2025-26,Wolves,Ki-Jana Hoever,NED,MF,23-225,2002,1.2,29,47,61.7,624,184,10,17,58.8,14,16,87.5,5,11,45.5,0,0.2,0.2,-0.2,2,2,3,2,2
ENG-Premier League,2025-26,Wolves,Marshall Munetsi,ZIM,FW,29-070,1996,3.0,32,53,60.4,513,184,13,26,50.0,14,20,70.0,3,5,60.0,1,0.5,0.1,0.5,2,2,2,2,6
ENG-Premier League,2025-26,Wolves,Matt Doherty,IRL,DF,33-227,1992,2.0,71,83,85.5,1473,561,27,29,93.1,34,38,89.5,10,14,71.4,0,0.0,0.0,0.0,0,5,0,0,5
ENG-Premier League,2025-26,Wolves,Rodrigo Gomes,POR,MF,22-055,2003,0.5,17,22,77.3,311,36,10,12,83.3,5,8,62.5,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2025-26,Wolves,Santiago Bueno,URU,DF,26-295,1998,1.4,63,74,85.1,1219,408,18,21,85.7,39,41,95.1,5,8,62.5,0,0.0,0.0,0.0,1,1,1,1,4
ENG-Premier League,2025-26,Wolves,Sasa Kalajdzic,AUT,FW,28-055,1997,0.2,3,5,60.0,30,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Wolves,Toti Gomes,POR,DF,26-227,1999,2.5,148,178,83.1,2675,807,52,57,91.2,83,90,92.2,9,27,33.3,0,0.0,0.0,0.0,2,7,0,0,3
ESP-La Liga,2025-26,Alavés,Abderrahman Rebbach,ALG,MF,27-020,1998,0.5,23,33,69.7,367,148,12,13,92.3,6,10,60.0,2,5,40.0,0,0.0,0.0,0.0,1,4,1,1,5
ESP-La Liga,2025-26,Alavés,Ander Guevara,ESP,MF,28-055,1997,0.7,28,37,75.7,455,147,13,16,81.3,13,14,92.9,1,4,25.0,0,0.0,0.0,0.0,0,6,1,0,4
ESP-La Liga,2025-26,Alavés,Antonio Blanco,ESP,MF,25-039,2000,3.0,154,183,84.2,2625,855,79,88,89.8,57,70,81.4,14,18,77.8,0,0.1,0.2,-0.1,2,20,0,0,20
ESP-La Liga,2025-26,Alavés,Antonio Sivera,ESP,GK,29-020,1996,3.0,46,81,56.8,2236,2108,1,1,100.0,10,10,100.0,35,70,50.0,0,0.0,0.0,0.0,0,4,0,0,0
ESP-La Liga,2025-26,Alavés,Calebe,BRA,MF,25-123,2000,0.2,12,17,70.6,159,50,8,8,100.0,4,6,66.7,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,2
ESP-La Liga,2025-26,Alavés,Carles Aleñá,ESP,"MF,FW",27-238,1998,3.0,131,159,82.4,2190,612,72,78,92.3,45,51,88.2,12,24,50.0,1,0.6,0.8,0.4,6,18,4,4,8
ESP-La Liga,2025-26,Alavés,Carlos Benavídez,URU,MF,27-154,1998,0.1,4,5,80.0,42,0,4,5,80.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
ESP-La Liga,2025-26,Alavés,Carlos Vicente,ESP,MF,26-130,1999,2.9,93,125,74.4,1245,269,66,74,89.2,24,32,75.0,3,10,30.0,0,0.6,0.3,-0.6,2,5,2,1,6
ESP-La Liga,2025-26,Alavés,Denis Suárez,ESP,MF,31-237,1994,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Alavés,Facundo Garcés,MAS,DF,25-360,1999,3.0,109,123,88.6,2116,713,39,40,97.5,63,70,90.0,7,13,53.8,0,0.0,0.0,0.0,0,5,0,0,4
ESP-La Liga,2025-26,Alavés,Jon Guridi,ESP,"FW,MF",30-184,1995,2.1,66,85,77.6,1073,185,31,37,83.8,29,37,78.4,6,8,75.0,0,0.0,0.1,0.0,0,3,2,0,10
ESP-La Liga,2025-26,Alavés,Jonny Castro,ESP,DF,31-181,1994,3.0,177,199,88.9,2837,1272,85,93,91.4,79,84,94.0,10,16,62.5,0,0.1,0.1,-0.1,3,24,1,1,19
ESP-La Liga,2025-26,Alavés,Lander Pinillos,ESP,MF,21-329,2003,0.0,1,2,50.0,11,1,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Alavés,Mariano,DOM,"FW,MF",32-030,1993,0.6,9,13,69.2,106,34,7,10,70.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,3
ESP-La Liga,2025-26,Alavés,Moussa Diarra,MLI,DF,24-294,2000,0.6,18,28,64.3,287,157,9,10,90.0,9,13,69.2,0,3,0.0,0,0.0,0.0,0.0,1,1,1,1,1
ESP-La Liga,2025-26,Alavés,Nahuel Tenaglia,ARG,DF,29-191,1996,3.0,104,127,81.9,2051,740,31,33,93.9,62,69,89.9,10,23,43.5,0,0.0,0.0,0.0,0,6,0,0,11
ESP-La Liga,2025-26,Alavés,Pablo Ibáñez,ESP,MF,26-345,1998,2.3,97,114,85.1,1635,319,43,44,97.7,41,50,82.0,9,13,69.2,0,0.0,0.0,0.0,0,13,0,0,15
ESP-La Liga,2025-26,Alavés,Toni Martínez,ESP,FW,28-062,1997,2.5,26,48,54.2,421,63,16,26,61.5,4,12,33.3,3,5,60.0,0,0.1,0.1,-0.1,2,4,1,0,3
ESP-La Liga,2025-26,Alavés,Victor Parada,ESP,DF,23-149,2002,2.2,59,80,73.8,929,322,29,31,93.5,27,37,73.0,2,6,33.3,0,0.2,0.2,-0.2,4,0,3,3,2
ESP-La Liga,2025-26,Alavés,Youssef Lekhedim,ESP,DF,19-328,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Athletic Club,Aitor Paredes,ESP,DF,25-124,2000,2.0,65,84,77.4,1230,385,15,18,83.3,45,50,90.0,5,14,35.7,0,0.0,0.0,0.0,0,1,0,0,5
ESP-La Liga,2025-26,Athletic Club,Alejandro Rego,ESP,MF,22-081,2003,0.1,3,3,100.0,59,27,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1
ESP-La Liga,2025-26,Athletic Club,Andoni Gorosabel,ESP,DF,29-027,1996,0.1,5,7,71.4,66,24,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Athletic Club,Beñat Prados,ESP,MF,24-204,2001,0.3,9,12,75.0,135,52,6,8,75.0,2,2,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,1,0,0,3
ESP-La Liga,2025-26,Athletic Club,Daniel Vivian,ESP,DF,26-047,1999,2.0,71,95,74.7,1524,546,14,19,73.7,44,50,88.0,12,21,57.1,0,0.0,0.0,0.0,0,5,0,0,6
ESP-La Liga,2025-26,Athletic Club,Gorka Guruzeta,ESP,FW,28-353,1996,0.4,13,16,81.3,242,42,5,5,100.0,5,8,62.5,3,3,100.0,0,0.0,0.1,0.0,0,2,0,0,3
ESP-La Liga,2025-26,Athletic Club,Iñaki Williams,GHA,FW,31-077,1994,1.9,23,31,74.2,302,86,13,16,81.3,6,7,85.7,2,5,40.0,0,0.1,0.2,-0.1,2,3,2,0,6
ESP-La Liga,2025-26,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,32-025,1993,1.6,52,62,83.9,991,302,21,22,95.5,23,26,88.5,7,11,63.6,0,0.0,0.1,0.0,1,9,1,0,11
ESP-La Liga,2025-26,Athletic Club,Jesús Areso,ESP,DF,26-060,1999,1.9,61,78,78.2,1005,396,29,32,90.6,25,31,80.6,5,11,45.5,0,0.3,0.3,-0.3,3,1,4,2,6
ESP-La Liga,2025-26,Athletic Club,Maroan Sannadi,MAR,FW,24-211,2001,1.2,20,26,76.9,259,47,10,14,71.4,6,7,85.7,1,1,100.0,0,0.6,0.1,-0.6,2,3,0,0,2
ESP-La Liga,2025-26,Athletic Club,Mikel Jauregizar,ESP,MF,21-292,2003,2.0,53,70,75.7,783,216,24,28,85.7,21,29,72.4,3,5,60.0,0,0.0,0.0,0.0,1,6,0,0,6
ESP-La Liga,2025-26,Athletic Club,Mikel Vesga,ESP,MF,32-102,1993,0.2,7,9,77.8,96,60,3,3,100.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,3
ESP-La Liga,2025-26,Athletic Club,Nico Williams,ESP,FW,23-050,2002,1.9,43,62,69.4,783,181,13,19,68.4,20,23,87.0,6,9,66.7,1,0.7,0.8,0.3,5,1,4,0,7
ESP-La Liga,2025-26,Athletic Club,Oihan Sancet,ESP,"MF,FW",25-128,2000,0.5,7,9,77.8,87,38,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,1,1,0,2
ESP-La Liga,2025-26,Athletic Club,Roberto Navarro,ESP,"MF,FW",23-141,2002,0.3,5,8,62.5,83,18,2,2,100.0,3,6,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
ESP-La Liga,2025-26,Athletic Club,Unai Gómez,ESP,FW,22-098,2003,0.0,1,2,50.0,20,0,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Athletic Club,Unai Simón,ESP,GK,28-081,1997,2.0,38,70,54.3,822,581,12,12,100.0,20,20,100.0,6,38,15.8,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Athletic Club,Yuri Berchiche,ESP,DF,35-202,1990,2.0,86,105,81.9,1506,743,35,39,89.7,47,55,85.5,4,9,44.4,0,0.0,0.1,0.0,1,7,1,1,8
ESP-La Liga,2025-26,Athletic Club,Álex Berenguer,ESP,"MF,FW",30-058,1995,1.7,33,50,66.0,584,178,15,17,88.2,11,15,73.3,5,13,38.5,0,0.1,0.2,-0.1,1,2,4,0,7
ESP-La Liga,2025-26,Atlético Madrid,Alex Baena,ESP,MF,24-042,2001,0.7,27,32,84.4,470,117,11,11,100.0,14,18,77.8,2,3,66.7,0,0.5,0.2,-0.5,4,1,4,0,5
ESP-La Liga,2025-26,Atlético Madrid,Alexander Sørloth,NOR,FW,29-269,1995,1.8,23,38,60.5,398,82,9,15,60.0,12,17,70.6,1,2,50.0,0,0.1,0.2,-0.1,1,5,1,0,4
ESP-La Liga,2025-26,Atlético Madrid,Antoine Griezmann,FRA,MF,34-163,1991,0.7,36,46,78.3,724,152,13,14,92.9,17,18,94.4,5,12,41.7,0,0.1,0.1,-0.1,1,2,4,1,7
ESP-La Liga,2025-26,Atlético Madrid,Clément Lenglet,FRA,DF,30-075,1995,1.0,73,84,86.9,1583,641,21,23,91.3,38,40,95.0,13,19,68.4,0,0.0,0.0,0.0,0,13,0,0,10
ESP-La Liga,2025-26,Atlético Madrid,Conor Gallagher,ENG,MF,25-206,2000,1.0,66,76,86.8,1013,229,35,40,87.5,27,29,93.1,3,6,50.0,0,0.0,0.1,0.0,0,7,2,0,9
ESP-La Liga,2025-26,Atlético Madrid,Dávid Hancko,SVK,DF,27-261,1997,2.8,126,154,81.8,2635,814,41,44,93.2,64,76,84.2,20,30,66.7,1,0.3,0.2,0.7,3,17,2,0,19
ESP-La Liga,2025-26,Atlético Madrid,Giacomo Raspadori,ITA,FW,25-194,2000,0.5,16,23,69.6,223,21,11,12,91.7,4,7,57.1,1,3,33.3,0,0.0,0.0,0.0,1,0,0,0,1
ESP-La Liga,2025-26,Atlético Madrid,Giuliano Simeone,ARG,"MF,FW",22-256,2002,2.8,89,109,81.7,1158,275,57,64,89.1,27,33,81.8,3,6,50.0,0,0.2,0.7,-0.2,3,6,2,0,8
ESP-La Liga,2025-26,Atlético Madrid,Jan Oblak,SVN,GK,32-236,1993,3.0,72,90,80.0,2124,1572,5,5,100.0,43,43,100.0,23,41,56.1,0,0.0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2025-26,Atlético Madrid,Javi Galán,ESP,DF,30-285,1994,0.2,10,14,71.4,213,29,4,6,66.7,4,4,100.0,2,3,66.7,0,0.0,0.0,0.0,1,0,1,1,0
ESP-La Liga,2025-26,Atlético Madrid,Johnny Cardoso,USA,MF,23-345,2001,2.0,95,112,84.8,1742,486,39,43,90.7,47,52,90.4,8,12,66.7,0,0.0,0.3,0.0,1,7,1,1,10
ESP-La Liga,2025-26,Atlético Madrid,Julián Álvarez,ARG,FW,25-212,2000,2.9,78,104,75.0,1159,272,47,57,82.5,20,22,90.9,5,15,33.3,0,0.2,0.3,-0.2,4,5,5,0,13
ESP-La Liga,2025-26,Atlético Madrid,Koke,ESP,MF,33-235,1992,0.5,62,68,91.2,1148,247,24,25,96.0,31,34,91.2,6,7,85.7,0,0.1,0.1,-0.1,2,6,2,1,5
ESP-La Liga,2025-26,Atlético Madrid,Marcos Llorente,ESP,DF,30-213,1995,3.0,179,208,86.1,3107,888,77,83,92.8,80,88,90.9,19,28,67.9,0,0.0,0.3,0.0,2,16,6,0,17
ESP-La Liga,2025-26,Atlético Madrid,Matteo Ruggeri,ITA,DF,23-051,2002,2.0,120,143,83.9,1991,534,60,64,93.8,53,64,82.8,6,10,60.0,0,0.0,0.3,0.0,0,9,4,2,11
ESP-La Liga,2025-26,Atlético Madrid,Nahuel Molina,ARG,DF,27-147,1998,0.2,20,24,83.3,366,119,7,8,87.5,10,11,90.9,2,4,50.0,0,0.1,0.2,-0.1,1,2,3,3,1
ESP-La Liga,2025-26,Atlético Madrid,Pablo Barrios,ESP,MF,22-077,2003,2.5,149,179,83.2,2473,665,75,86,87.2,56,60,93.3,14,26,53.8,0,0.1,0.2,-0.1,3,22,6,2,26
ESP-La Liga,2025-26,Atlético Madrid,Robin Le Normand,ESP,DF,28-293,1996,3.0,206,223,92.4,4040,1517,55,60,91.7,134,138,97.1,16,21,76.2,0,0.0,0.0,0.0,0,20,0,0,18
ESP-La Liga,2025-26,Atlético Madrid,Thiago Almada,ARG,"MF,FW",24-127,2001,2.3,107,127,84.3,1854,479,48,52,92.3,49,52,94.2,7,15,46.7,0,0.6,0.4,-0.6,4,10,3,1,15
ESP-La Liga,2025-26,Barcelona,Alejandro Balde,ESP,DF,21-317,2003,1.6,108,116,93.1,1557,217,65,68,95.6,40,44,90.9,2,3,66.7,0,0.4,0.7,-0.4,4,2,3,1,5
ESP-La Liga,2025-26,Barcelona,Andreas Christensen,DEN,DF,29-143,1996,0.2,19,21,90.5,415,146,4,5,80.0,14,15,93.3,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,2
ESP-La Liga,2025-26,Barcelona,Dani Olmo,ESP,"MF,FW",27-116,1998,1.0,43,54,79.6,601,139,29,32,90.6,11,13,84.6,2,4,50.0,0,0.2,0.8,-0.2,2,4,3,0,4
ESP-La Liga,2025-26,Barcelona,Eric García,ESP,DF,24-234,2001,1.9,144,153,94.1,2135,634,88,91,96.7,52,56,92.9,3,3,100.0,0,0.3,0.2,-0.3,6,32,4,0,16
ESP-La Liga,2025-26,Barcelona,Fermin López,ESP,MF,22-112,2003,0.5,19,25,76.0,222,20,16,18,88.9,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2
ESP-La Liga,2025-26,Barcelona,Ferrán Torres,ESP,FW,25-183,2000,1.8,24,33,72.7,312,65,13,17,76.5,7,10,70.0,1,1,100.0,0,0.2,0.2,-0.2,3,1,2,0,4
ESP-La Liga,2025-26,Barcelona,Frenkie de Jong,NED,MF,28-111,1997,1.0,76,80,95.0,1205,374,39,40,97.5,34,35,97.1,3,3,100.0,0,0.0,0.2,0.0,1,14,1,1,10
ESP-La Liga,2025-26,Barcelona,Gavi,ESP,"MF,DF",21-026,2004,0.7,63,68,92.6,1196,338,16,19,84.2,44,46,95.7,3,3,100.0,1,0.2,0.1,0.8,3,15,2,0,11
ESP-La Liga,2025-26,Barcelona,Joan García,ESP,GK,24-119,2001,2.0,40,41,97.6,951,802,3,3,100.0,28,28,100.0,9,10,90.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Barcelona,Jofre Torrents,ESP,DF,18-215,2007,0.3,17,21,81.0,264,71,12,12,100.0,4,6,66.7,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Barcelona,Jules Koundé,FRA,DF,26-292,1998,0.2,25,28,89.3,375,82,13,14,92.9,11,11,100.0,0,1,0.0,0,0.0,0.0,0.0,0,3,0,0,1
ESP-La Liga,2025-26,Barcelona,Lamine Yamal,ESP,FW,18-049,2007,2.0,86,111,77.5,1328,298,50,57,87.7,30,42,71.4,5,8,62.5,2,0.8,1.0,1.2,5,4,7,1,10
ESP-La Liga,2025-26,Barcelona,Marc Casado,ESP,MF,21-351,2003,0.5,48,52,92.3,840,247,18,20,90.0,26,27,96.3,3,4,75.0,0,0.0,0.0,0.0,0,10,1,0,8
ESP-La Liga,2025-26,Barcelona,Marcus Rashford,ENG,FW,27-304,1997,0.7,41,45,91.1,684,128,18,19,94.7,22,24,91.7,0,1,0.0,0,0.2,0.2,-0.2,4,0,4,0,6
ESP-La Liga,2025-26,Barcelona,Pau Cubarsí,ESP,DF,18-221,2007,1.8,133,145,91.7,2282,919,53,57,93.0,74,79,93.7,6,9,66.7,0,0.0,0.0,0.0,0,23,0,0,10
ESP-La Liga,2025-26,Barcelona,Pedri,ESP,MF,22-279,2002,2.0,203,220,92.3,3823,960,70,73,95.9,113,118,95.8,18,23,78.3,0,0.5,0.7,-0.5,6,40,9,0,35
ESP-La Liga,2025-26,Barcelona,Raphinha,BRA,"FW,MF",28-260,1996,1.8,70,92,76.1,1192,278,33,36,91.7,30,34,88.2,6,19,31.6,1,0.7,0.9,0.3,6,8,1,0,4
ESP-La Liga,2025-26,Barcelona,Robert Lewandowski,POL,FW,37-010,1988,0.2,2,3,66.7,21,0,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Barcelona,Ronald Araújo,URU,DF,26-177,1999,1.8,96,107,89.7,1613,587,40,41,97.6,53,59,89.8,3,7,42.9,0,0.0,0.0,0.0,0,8,0,0,9
ESP-La Liga,2025-26,Betis,Aitor Ruibal,ESP,FW,29-162,1996,2.4,53,66,80.3,693,196,31,37,83.8,17,19,89.5,1,5,20.0,0,0.2,0.5,-0.2,3,3,5,1,10
ESP-La Liga,2025-26,Betis,Cucho,COL,FW,26-133,1999,2.6,40,59,67.8,649,139,24,31,77.4,5,8,62.5,7,11,63.6,0,0.3,0.1,-0.3,2,3,0,0,3
ESP-La Liga,2025-26,Betis,Cédric Bakambu,COD,FW,34-142,1991,0.4,5,9,55.6,38,10,4,7,57.1,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2025-26,Betis,Daniel Guerrero,ESP,MF,20-036,2005,0.0,1,1,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Betis,Ezequiel Ávila,ARG,FW,31-206,1994,0.4,8,11,72.7,109,43,4,5,80.0,1,3,33.3,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1
ESP-La Liga,2025-26,Betis,Giovani Lo Celso,ARG,MF,29-144,1996,2.9,144,162,88.9,2332,634,74,76,97.4,41,47,87.2,17,24,70.8,1,0.5,0.5,0.5,7,17,6,2,15
ESP-La Liga,2025-26,Betis,Héctor Bellerín,ESP,DF,30-165,1995,3.0,139,166,83.7,2165,824,75,84,89.3,56,64,87.5,7,15,46.7,0,0.5,0.2,-0.5,3,11,3,2,12
ESP-La Liga,2025-26,Betis,Junior Firpo,DOM,DF,29-009,1996,0.8,43,50,86.0,534,233,32,34,94.1,11,14,78.6,0,0,,0,0.0,0.0,0.0,0,1,0,0,3
ESP-La Liga,2025-26,Betis,Marc Bartra,ESP,DF,34-228,1991,3.0,138,153,90.2,2836,997,48,49,98.0,62,65,95.4,23,32,71.9,0,0.0,0.0,0.0,1,11,0,0,5
ESP-La Liga,2025-26,Betis,Natan,BRA,DF,24-206,2001,3.0,111,130,85.4,2061,725,43,43,100.0,54,63,85.7,13,22,59.1,0,0.0,0.0,0.0,0,6,0,0,3
ESP-La Liga,2025-26,Betis,Pablo Fornals,ESP,MF,29-190,1996,3.0,162,184,88.0,2807,855,78,79,98.7,56,68,82.4,20,27,74.1,0,0.3,0.2,-0.3,3,27,3,1,22
ESP-La Liga,2025-26,Betis,Pablo Garcia,ESP,FW,19-016,2006,1.0,24,28,85.7,356,53,13,13,100.0,7,10,70.0,3,4,75.0,0,0.0,0.1,0.0,0,2,1,0,4
ESP-La Liga,2025-26,Betis,Pau López,ESP,GK,30-261,1994,2.0,43,58,74.1,1180,730,6,6,100.0,22,22,100.0,15,29,51.7,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Betis,Ricardo Rodríguez,SUI,DF,33-006,1992,2.2,85,99,85.9,1338,676,47,49,95.9,33,37,89.2,4,10,40.0,0,0.3,0.1,-0.3,3,5,2,1,5
ESP-La Liga,2025-26,Betis,Rodrigo Riquelme,ESP,FW,25-151,2000,2.2,64,79,81.0,911,206,41,46,89.1,18,22,81.8,3,4,75.0,1,1.1,0.5,-0.1,4,5,3,0,8
ESP-La Liga,2025-26,Betis,Sergi Altimira,ESP,MF,24-006,2001,2.8,142,152,93.4,2315,502,72,74,97.3,56,60,93.3,11,14,78.6,0,0.1,0.2,-0.1,3,14,0,0,5
ESP-La Liga,2025-26,Betis,Valentín Gómez,ARG,MF,22-066,2003,0.3,7,8,87.5,95,53,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2
ESP-La Liga,2025-26,Betis,Álvaro Vallés,ESP,GK,28-037,1997,1.0,31,40,77.5,794,407,6,6,100.0,14,14,100.0,11,20,55.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2025-26,Celta Vigo,Borja Iglesias,ESP,FW,32-226,1993,1.2,27,35,77.1,382,95,15,20,75.0,10,13,76.9,0,0,,0,0.2,0.2,-0.2,3,5,0,0,4
ESP-La Liga,2025-26,Celta Vigo,Bryan Zaragoza,ESP,"MF,FW",24-128,2001,0.6,18,27,66.7,290,58,13,14,92.9,3,5,60.0,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2
ESP-La Liga,2025-26,Celta Vigo,Carlos Dominguez,ESP,DF,24-201,2001,1.0,59,60,98.3,1108,370,15,15,100.0,40,40,100.0,3,4,75.0,0,0.0,0.0,0.0,0,0,0,0,1
ESP-La Liga,2025-26,Celta Vigo,Ferran Jutglà,ESP,"FW,MF",26-211,1999,1.8,30,43,69.8,486,83,15,21,71.4,11,13,84.6,3,4,75.0,0,0.0,0.1,0.0,0,5,0,0,4
ESP-La Liga,2025-26,Celta Vigo,Fran Beltrán,ESP,MF,26-209,1999,0.8,34,38,89.5,593,190,14,15,93.3,18,19,94.7,2,3,66.7,0,0.0,0.0,0.0,0,4,0,0,2
ESP-La Liga,2025-26,Celta Vigo,Hugo Sotelo,ESP,MF,21-255,2003,2.2,134,158,84.8,2589,991,46,50,92.0,75,82,91.5,12,22,54.5,1,0.7,0.5,0.3,7,25,2,0,20
